filename,width,height,class,xmin,ymin,xmax,ymax
Image__2018-01-18__10-59-36.jpg,640,480,fallen,306,219,349,372
Image__2018-01-18__10-59-36.jpg,640,480,fallen,245,102,404,175
Image__2018-01-18__10-59-36.jpg,640,480,fallen,152,172,198,330
Image__2018-01-18__10-59-36.jpg,640,480,standing,196,249,245,297
Image__2018-01-18__10-59-36.jpg,640,480,standing,248,271,299,325
Image__2018-01-18__10-59-36.jpg,640,480,standing,253,213,304,267
Image__2018-01-18__10-59-36.jpg,640,480,standing,201,194,252,248
Image__2018-01-18__10-59-36.jpg,640,480,standing,213,145,264,199
Image__2018-01-18__10-59-36.jpg,640,480,standing,270,162,321,216
Image__2018-01-18__10-59-36.jpg,640,480,standing,325,170,376,224
Image__2018-01-18__10-59-36.jpg,640,480,standing,365,216,416,270
Image__2018-01-18__10-59-36.jpg,640,480,standing,363,273,414,327
Image__2018-01-18__10-59-36.jpg,640,480,standing,351,326,402,380
Image__2018-01-18__10-59-36.jpg,640,480,standing,286,375,337,429
Image__2018-01-18__10-59-36.jpg,640,480,standing,247,333,298,387
Image__2018-01-18__10-59-36.jpg,640,480,standing,202,298,253,352
Image__2018-01-18__15-21-35.jpg,640,480,standing,341,166,416,234
Image__2018-01-18__15-21-35.jpg,640,480,standing,327,99,395,170
Image__2018-01-18__15-21-35.jpg,640,480,standing,241,32,321,136
Image__2018-01-18__15-21-35.jpg,640,480,standing,99,51,200,158
Image__2018-01-18__15-21-35.jpg,640,480,standing,322,1,400,98
Image__2018-01-18__15-21-35.jpg,640,480,standing,137,311,243,393
Image__2018-01-18__15-21-35.jpg,640,480,standing,296,268,382,348
Image__2018-01-18__15-21-35.jpg,640,480,standing,229,396,298,480
Image__2018-01-18__15-21-35.jpg,640,480,standing,277,357,346,435
Image__2018-01-18__15-21-35.jpg,640,480,standing,341,342,419,426
Image__2018-01-18__10-57-33.jpg,640,480,standing,277,252,350,323
Image__2018-01-18__10-57-33.jpg,640,480,standing,192,132,265,203
Image__2018-01-18__10-57-33.jpg,640,480,standing,106,249,190,324
Image__2018-01-18__10-57-33.jpg,640,480,standing,204,358,288,433
Image__2018-01-10__13-51-22.jpg,640,480,fallen,215,191,630,477
Image__2018-01-10__13-51-22.jpg,640,480,standing,61,2,266,172
Image__2018-01-10__14-38-33.jpg,640,480,standing,13,206,215,332
Image__2018-01-10__14-38-33.jpg,640,480,standing,19,1,201,161
Image__2018-01-10__14-38-33.jpg,640,480,standing,231,11,393,145
Image__2018-01-10__14-38-33.jpg,640,480,standing,26,346,188,480
Image__2018-01-10__14-38-33.jpg,640,480,standing,376,296,538,430
Image__2018-01-10__14-38-27.jpg,640,480,standing,228,13,369,170
Image__2018-01-10__14-38-27.jpg,640,480,standing,212,186,357,327
Image__2018-01-10__14-38-27.jpg,640,480,standing,31,204,210,330
Image__2018-01-10__14-38-27.jpg,640,480,standing,38,11,208,173
Image__2018-01-10__14-38-27.jpg,640,480,standing,36,336,214,466
Image__2018-01-10__14-38-27.jpg,640,480,fallen,382,45,534,449
Image__2018-01-18__11-03-39.jpg,640,480,fallen,319,266,374,383
Image__2018-01-18__11-03-39.jpg,640,480,fallen,235,110,286,204
Image__2018-01-18__11-03-39.jpg,640,480,fallen,236,44,387,84
Image__2018-01-18__11-03-39.jpg,640,480,fallen,68,108,219,148
Image__2018-01-18__11-03-39.jpg,640,480,fallen,64,173,215,213
Image__2018-01-18__11-03-39.jpg,640,480,fallen,76,220,227,260
Image__2018-01-18__11-03-39.jpg,640,480,fallen,94,261,235,295
Image__2018-01-18__11-03-39.jpg,640,480,fallen,196,364,302,425
Image__2018-01-18__11-03-39.jpg,640,480,fallen,65,326,149,442
Image__2018-01-18__11-03-39.jpg,640,480,standing,181,313,228,352
Image__2018-01-18__11-03-39.jpg,640,480,standing,225,316,272,355
Image__2018-01-18__11-03-39.jpg,640,480,standing,228,260,275,299
Image__2018-01-18__11-03-39.jpg,640,480,fallen,227,202,279,256
Image__2018-01-18__11-03-39.jpg,640,480,fallen,274,86,338,137
Image__2018-01-18__11-03-39.jpg,640,480,fallen,287,140,339,233
Image__2018-01-10__14-42-06.jpg,640,480,fallen,20,374,499,480
Image__2018-01-10__14-19-02.jpg,640,480,fallen,27,321,476,406
Image__2018-01-10__14-19-02.jpg,640,480,fallen,167,410,612,475
Image__2018-01-10__14-19-02.jpg,640,480,standing,148,159,317,294
Image__2018-01-10__14-19-02.jpg,640,480,standing,321,154,481,298
Image__2018-01-10__14-19-02.jpg,640,480,standing,507,154,640,316
Image__2018-01-10__14-19-02.jpg,640,480,standing,1,199,144,349
Image__2018-01-18__11-00-40.jpg,640,480,fallen,260,198,423,252
Image__2018-01-18__11-00-40.jpg,640,480,fallen,259,92,422,146
Image__2018-01-18__11-00-40.jpg,640,480,fallen,254,307,419,362
Image__2018-01-18__11-00-40.jpg,640,480,fallen,96,138,238,235
Image__2018-01-18__11-00-40.jpg,640,480,fallen,76,238,236,327
Image__2018-01-18__11-00-40.jpg,640,480,standing,241,247,299,301
Image__2018-01-18__11-00-40.jpg,640,480,standing,245,139,312,202
Image__2018-01-10__13-48-03.jpg,640,480,fallen,228,95,640,189
Image__2018-01-10__13-48-03.jpg,640,480,fallen,291,190,640,279
Image__2018-01-10__13-48-03.jpg,640,480,fallen,486,278,591,480
Image__2018-01-10__13-48-03.jpg,640,480,fallen,26,324,489,447
Image__2018-01-10__13-48-03.jpg,640,480,fallen,151,1,578,97
Image__2018-01-10__13-48-03.jpg,640,480,standing,114,187,300,334
Image__2018-01-10__13-48-03.jpg,640,480,standing,3,1,229,183
Image__2018-01-10__13-55-52.jpg,640,480,standing,257,152,441,318
Image__2018-01-10__14-09-13.jpg,640,480,standing,83,201,220,344
Image__2018-01-10__14-09-13.jpg,640,480,standing,117,2,292,192
Image__2018-01-10__14-09-13.jpg,640,480,standing,293,1,434,184
Image__2018-01-10__14-09-13.jpg,640,480,standing,455,96,640,256
Image__2018-01-10__14-09-13.jpg,640,480,fallen,201,299,640,420
Image__2018-01-10__14-09-13.jpg,640,480,fallen,280,176,496,290
Image__2018-01-10__14-07-02.jpg,640,480,fallen,411,84,546,475
Image__2018-01-10__14-07-02.jpg,640,480,standing,223,194,364,323
Image__2018-01-10__14-07-02.jpg,640,480,standing,11,299,220,429
Image__2018-01-10__14-07-02.jpg,640,480,standing,1,140,182,297
Image__2018-01-10__14-07-02.jpg,640,480,standing,115,1,293,202
Image__2018-01-10__14-07-02.jpg,640,480,standing,290,1,431,171
Image__2018-01-10__14-07-02.jpg,640,480,standing,555,87,640,190
Image__2018-01-10__14-41-57.jpg,640,480,fallen,119,118,465,396
Image__2018-01-10__14-50-06.jpg,640,480,standing,378,338,504,444
Image__2018-01-10__14-50-06.jpg,640,480,standing,107,321,270,433
Image__2018-01-10__14-50-06.jpg,640,480,standing,38,163,190,299
Image__2018-01-10__14-50-06.jpg,640,480,standing,350,161,512,292
Image__2018-01-10__14-50-06.jpg,640,480,fallen,47,70,507,156
Image__2018-01-10__14-50-06.jpg,640,480,fallen,1,30,50,346
Image__2018-01-10__14-50-06.jpg,640,480,fallen,76,443,526,476
Image__2018-01-10__14-18-56.jpg,640,480,standing,148,156,308,289
Image__2018-01-10__14-18-56.jpg,640,480,standing,324,144,470,292
Image__2018-01-10__14-18-56.jpg,640,480,standing,510,152,637,307
Image__2018-01-10__14-18-56.jpg,640,480,standing,1,202,137,355
Image__2018-01-10__14-18-56.jpg,640,480,fallen,141,304,609,395
Image__2018-01-10__14-18-56.jpg,640,480,fallen,157,407,634,479
Image__2018-01-10__13-54-12.jpg,640,480,standing,344,206,516,379
Image__2018-01-10__13-54-12.jpg,640,480,standing,353,1,550,162
Image__2018-01-18__11-01-14.jpg,640,480,standing,211,220,287,281
Image__2018-01-10__13-47-52.jpg,640,480,standing,103,187,290,321
Image__2018-01-10__13-47-52.jpg,640,480,standing,1,1,236,190
Image__2018-01-10__13-47-52.jpg,640,480,fallen,53,295,507,423
Image__2018-01-10__13-47-52.jpg,640,480,fallen,508,284,600,480
Image__2018-01-10__13-47-52.jpg,640,480,fallen,291,186,640,294
Image__2018-01-10__13-47-52.jpg,640,480,fallen,223,92,640,188
Image__2018-01-10__13-47-52.jpg,640,480,fallen,157,1,567,103
Image__2018-01-18__15-23-18.jpg,640,480,standing,297,167,369,234
Image__2018-01-18__15-23-18.jpg,640,480,standing,319,35,392,124
Image__2018-01-18__15-23-18.jpg,640,480,standing,116,240,208,306
Image__2018-01-18__15-23-18.jpg,640,480,standing,88,96,185,174
Image__2018-01-18__15-23-18.jpg,640,480,standing,289,283,366,355
Image__2018-01-18__15-23-18.jpg,640,480,standing,184,354,269,437
Image__2018-01-10__14-49-27.jpg,640,480,fallen,521,66,634,475
Image__2018-01-10__14-49-27.jpg,640,480,fallen,67,296,523,397
Image__2018-01-10__14-49-27.jpg,640,480,fallen,54,193,510,294
Image__2018-01-10__14-49-27.jpg,640,480,fallen,61,86,517,187
Image__2018-01-10__14-49-27.jpg,640,480,fallen,59,1,501,87
Image__2018-01-10__14-49-27.jpg,640,480,fallen,1,8,48,342
Image__2018-01-10__14-49-27.jpg,640,480,fallen,79,394,538,478
Image__2018-01-10__14-40-17.jpg,640,480,standing,71,194,272,334
Image__2018-01-10__14-40-17.jpg,640,480,standing,340,321,541,461
Image__2018-01-10__14-47-37.jpg,640,480,standing,85,26,185,449
Image__2018-01-10__14-47-37.jpg,640,480,standing,1,5,73,436
Image__2018-01-10__14-47-37.jpg,640,480,fallen,177,1,628,87
Image__2018-01-10__14-47-37.jpg,640,480,fallen,197,103,634,201
Image__2018-01-10__14-47-37.jpg,640,480,fallen,199,204,636,302
Image__2018-01-10__14-47-37.jpg,640,480,fallen,189,310,626,408
Image__2018-01-10__14-12-36.jpg,640,480,standing,191,230,361,387
Image__2018-01-10__14-12-36.jpg,640,480,standing,324,317,468,480
Image__2018-01-10__14-12-36.jpg,640,480,standing,363,140,544,305
Image__2018-01-10__14-12-36.jpg,640,480,standing,192,1,370,175
Image__2018-01-10__14-12-36.jpg,640,480,standing,17,147,193,298
Image__2018-01-10__14-12-36.jpg,640,480,standing,28,302,210,443
Image__2018-01-10__14-06-43.jpg,640,480,standing,224,195,370,318
Image__2018-01-10__14-06-43.jpg,640,480,standing,6,300,178,431
