filename,width,height,class,xmin,ymin,xmax,ymax
Image__2018-01-18__10-59-36.jpg,640,480,fallen,304,216,365,380
Image__2018-01-18__10-59-36.jpg,640,480,fallen,244,103,424,188
Image__2018-01-18__10-59-36.jpg,640,480,fallen,145,173,203,335
Image__2018-01-18__10-59-36.jpg,640,480,standing,211,141,268,197
Image__2018-01-18__10-59-36.jpg,640,480,standing,267,155,324,211
Image__2018-01-18__10-59-36.jpg,640,480,standing,320,166,377,222
Image__2018-01-18__10-59-36.jpg,640,480,standing,367,215,424,271
Image__2018-01-18__10-59-36.jpg,640,480,standing,361,271,418,327
Image__2018-01-18__10-59-36.jpg,640,480,standing,348,324,405,380
Image__2018-01-18__10-59-36.jpg,640,480,standing,243,328,300,384
Image__2018-01-18__10-59-36.jpg,640,480,standing,280,375,337,431
Image__2018-01-18__10-59-36.jpg,640,480,standing,245,266,302,322
Image__2018-01-18__10-59-36.jpg,640,480,standing,251,211,308,267
Image__2018-01-18__10-59-36.jpg,640,480,standing,204,194,261,250
Image__2018-01-18__10-59-36.jpg,640,480,standing,194,303,251,359
Image__2018-01-18__11-03-39.jpg,640,480,fallen,307,264,364,389
Image__2018-01-18__11-03-39.jpg,640,480,fallen,283,138,377,258
Image__2018-01-18__11-03-39.jpg,640,480,fallen,272,82,388,180
Image__2018-01-18__11-03-39.jpg,640,480,fallen,245,39,390,91
Image__2018-01-18__11-03-39.jpg,640,480,fallen,230,77,280,207
Image__2018-01-18__11-03-39.jpg,640,480,fallen,65,92,208,153
Image__2018-01-18__11-03-39.jpg,640,480,fallen,64,166,205,216
Image__2018-01-18__11-03-39.jpg,640,480,fallen,82,212,223,262
Image__2018-01-18__11-03-39.jpg,640,480,fallen,93,249,234,299
Image__2018-01-18__11-03-39.jpg,640,480,fallen,192,361,330,424
Image__2018-01-18__11-03-39.jpg,640,480,fallen,59,325,148,449
Image__2018-01-18__11-03-39.jpg,640,480,standing,228,315,282,355
Image__2018-01-18__11-03-39.jpg,640,480,standing,180,314,234,354
Image__2018-01-18__11-03-39.jpg,640,480,standing,224,260,278,300
Image__2018-01-18__11-03-39.jpg,640,480,fallen,226,203,346,297
water-bottle-6.jpg,640,480,fallen,62,55,160,422
water-bottle-6.jpg,640,480,fallen,200,52,298,419
water-bottle-6.jpg,640,480,fallen,350,51,448,418
water-bottle-6.jpg,640,480,fallen,487,53,585,420
63.jpg,640,480,fallen,61,152,195,427
63.jpg,640,480,fallen,216,119,364,424
63.jpg,640,480,fallen,387,41,568,430
Image__2018-01-24__11-32-02.jpg,1280,1024,fallen,552,639,982,847
Image__2018-01-24__11-32-02.jpg,1280,1024,fallen,581,493,1004,693
Image__2018-01-24__11-32-02.jpg,1280,1024,fallen,609,379,1030,600
Image__2018-01-24__11-32-02.jpg,1280,1024,fallen,671,271,1092,492
Image__2018-01-24__11-32-02.jpg,1280,1024,fallen,690,171,1113,392
Image__2018-01-24__11-32-02.jpg,1280,1024,fallen,757,51,1164,291
Image__2018-01-24__11-32-02.jpg,1280,1024,fallen,514,740,946,933
Image__2018-01-24__11-32-02.jpg,1280,1024,fallen,452,848,884,1023
Image__2018-01-24__11-32-02.jpg,1280,1024,standing,415,449,564,571
Image__2018-01-24__11-32-02.jpg,1280,1024,fallen,966,16,1130,161
Image__2018-01-22__15-34-05.jpg,640,480,fallen,314,83,375,288
Image__2018-01-22__15-34-05.jpg,640,480,fallen,244,94,305,299
Image__2018-01-22__15-34-05.jpg,640,480,fallen,252,300,311,480
Image__2018-01-22__15-34-05.jpg,640,480,fallen,315,296,374,476
Image__2018-01-22__15-34-05.jpg,640,480,standing,287,278,331,320
Image__2018-01-10__14-09-13.jpg,640,480,fallen,203,294,640,414
Image__2018-01-10__14-09-13.jpg,640,480,fallen,289,186,490,295
Image__2018-01-10__14-09-13.jpg,640,480,standing,292,1,449,177
Image__2018-01-10__14-09-13.jpg,640,480,standing,121,1,303,205
Image__2018-01-10__14-09-13.jpg,640,480,standing,432,89,640,261
Image__2018-01-10__14-09-13.jpg,640,480,standing,69,198,276,354
Image__2018-01-24__11-48-23.jpg,1280,1024,fallen,593,683,1020,863
Image__2018-01-24__11-48-23.jpg,1280,1024,fallen,728,628,994,748
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,628,537,760,669
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,509,458,654,608
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,477,600,620,745
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,444,727,589,859
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,645,399,774,527
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,797,528,949,660
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,930,516,1099,644
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,1002,609,1142,714
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,1018,707,1195,849
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,1066,829,1280,990
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,937,843,1111,1011
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,820,849,989,1024
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,693,820,836,1004
Image__2018-01-24__11-48-23.jpg,1280,1024,standing,580,800,709,983
Image__2018-01-24__12-03-02.jpg,1280,1024,standing,685,495,845,639
Image__2018-01-24__12-03-02.jpg,1280,1024,standing,679,634,839,778
Image__2018-01-24__12-03-02.jpg,1280,1024,standing,381,626,541,770
Image__2018-01-24__12-03-02.jpg,1280,1024,standing,453,229,604,391
Image__2018-01-24__12-03-02.jpg,1280,1024,standing,677,208,821,377
